年份,家庭户均人口数,人均可支配收入,人均消费支出,教育支出,教育文化娱乐总支出,每一就业负担人数,恩格尔系数,小学招生数
2000,,9791,8416,,1291.09,1.36,,
2001,,11094,10258,,1787.41,,,
2002,,12316,9643,,1138,1.39,,
2003,,12916,10995,1115,1922,1.4,,
2004,2.9,14539,11719,990,2227,,31.4,4350
2005,2.88,16353,12856,1286,2367,,30.9,3805
2006,2.88,18515,14458,1052,2301,,30.1,3695
2007,2.84,25204,18472,1209,3389,,28.6,5051
2008,2.84,25204,18472,1209,3389,,28.6,5051
2009,,28059,20528,1157,3532,,28.4,
2010,,29099,20382,1186/1464,4044,,31.38,
2011,,31633,22277,1053,3537.27,,32.03,
2012,,35740,24547,1197.2,4579.2,,30.25,
2013,,39772,27149,1029.72,4977.58,,30.47,
2014,2.75,43479,29474,1029.51,5503.95,,29.73,13382
2015,,62437,43174,960.24,,,29,13074
2016,,67492,43595,1117,5715,,21.5,
2017,,71863,45329,1277,5609,,20.7,13455
2018,,76511,46668,,5477,,19.9,15050
2019,,81678,49642,,5472,,18,18328
